Species,Body_Temp_C,Body_mass_g,Basal_Met_Rate_W,Air_temp_C
Manis javanica,32.3,4220,6.230,20.5
Spilocuscus maculatus,34.7,4250,6.164,18.7
Nandinia binotata,37.4,4270,4.814,22.9
Madoqua kirkii,,4290,11.966,21.5
Marmota flaviventris,36.5,4295,8.626,5.9
Cabassous centralis,33.6,4330,5.116,19.5
Vulpes vulpes,38.7,4440,13.623,3.3
Chaetophractus villosus,35.1,4540,4.508,17.9
Alouatta palliata,,4670,11.464,19.4
Phascolarctos cinereus,35.8,4765,5.768,16.8
Macropus eugenii,36.5,4796,7.780,13.7
Procyon lotor,38.0,5075,8.920,10.5
Cerdocyon thous,38.2,5444,8.502,22.1
Ailurus fulgens,37.6,5740,4.898,4.5
Sarcophilus harrisii,35.8,5775,7.394,
Lagostomus maximus,36.8,6784,10.597,16.3
Dendrolagus matschiei,36.3,6960,7.960,12.3
Canis mesomelas,38.0,7720,21.533,20.5
Proteles cristata,36.4,8100,12.239,20.3
Euphractus sexcinctus,34.2,8190,6.901,21.2
Puma yagouaroundi,38.4,8400,9.690,
Cercopithecus mitis,37.5,8500,18.923,21.4
Lycaon pictus,,8750,33.010,22.9
Taxidea taxus,38.0,9000,15.062,8.9
Cuniculus paca,37.2,9156,15.323,
Lynx rufus,,9400,23.542,10.4
Papio anubis,37.3,9500,14.970,
Papio ursinus,,9500,15.497,
Raphicerus campestris,39.0,9600,20.619,19.1
Canis latrans,37.0,10000,14.990,5.5
Lutra lutra,38.1,10000,25.104,4.8
Zaglossus bruijni,30.8,10300,6.778,16.2
Colobus guereza,37.0,10450,16.613,22.8
Leopardus pardalis,38.0,10500,17.439,21.9
Meles meles,,11050,16.647,4.5
Erethizon dorsata,37.5,11136,15.531,0.9
Hystrix africaeaustralis,37.5,11300,13.175,20.3
Gulo gulo,,12700,31.765,-6.8
Arctictis binturong,36.7,14280,12.747,19.9
Manis crassicaudata,33.4,15910,6.923,23.8
Papio hamadryas,37.0,16900,27.737,21.9
Enhydra lutris,38.5,18000,67.278,
Pecari tajacu,37.5,20500,33.165,22.2
Capreolus capreolus,,21500,46.347,6.8
Hydrochoeris hydrochaeris,37.1,26385,36.798,23.1
Phoca vitulina,,27400,73.290,
Macropus robustus,36.1,29300,31.710,20.6
Lasiorhinus latifrons,35.3,29917,16.690,15.3
Myrmecophaga tridactyla,32.5,30600,14.543,23.5
Oreamnos americanus,38.6,32000,46.414,-1.0
Macropus rufus,35.9,32490,32.625,20.9
Hyaena hyaena,,34300,31.954,22.2
Puma concolor,37.6,37200,49.326,17.5
Antilocapra americana,,37800,51.981,9.0
Acinonyx jubatus,39.0,37900,50.107,22.8
Priodontes maximus,33.6,45190,16.892,24.0
Orycteropus afer,34.5,48000,34.275,22.8
Panthera onca,,50400,62.419,23.5
Histriophoca fasciata,,54000,118.590,
Odocoileus virginianus,39.0,58588,142.863,12.1
Melursus ursinus,,66957,47.064,23.9
Cervus elaphus,,67000,112.430,2.7
Ovis canadensis,,69125,106.663,7.8
Rangifer tarandus,39.2,85000,119.660,-8.5
Panthera leo,37.9,98000,94.580,25.3
Kobus ellipsiprymnus,,100000,148.949,23.3
Lama glama,38.7,115000,148.940,
Sus scrofa,,135000,104.150,11.1
Panthera tigris,37.5,137900,133.859,20.1
Pagophilus groenlandicus,,150000,168.930,
Taurotragus oryx,39.1,150000,200.830,21.5
Trichechus inunguis,,165223,64.520,
Equus asinus,,177500,164.920,
Connochaetes taurinus,,196500,230.073,20.9
Alces alces,38.6,325000,286.847,-4.3
Bos taurus,38.4,347000,306.770,
Camelus dromedarius,37.2,407000,224.779,
Ovis aries,39.4,,0.508,
