Species,Body_Temp_C,Body_mass_g,Basal_Met_Rate_W,Air_temp_C
Leptonycteris curasoae,35.7,22,0.245,18.1
Peromyscus maniculatus,37.2,23.19,0.257,6.0
Peromyscus boylii,36.4,23.2,0.303,11.3
Muscardinus avellanarius,35.8,23.5,0.351,7.3
Paranyctimene raptor,33.8,23.6,0.137,18.4
Zapus hudsonius,37.3,23.8,0.199,2.4
Apodemus flavicollis,36.7,23.9,0.242,5.7
Apodemus sylvaticus,36.7,23.9,0.242,8.1
Akodon azarae,37.7,24,0.228,17.6
Abrothrix lanosus,,24,0.254,
Myodes glareolus,,24.6,0.320,
Myotis vivesi,,25,0.199,13.3
Microtus pinetorum,38.3,25.5,0.326,13.2
Phodopus sungorus,36.1,25.7,0.228,1.2
Antechinomys laniger,35.8,25.8,0.141,
Myopus schisticolor,39.0,26.4,0.522,-7.1
Noctilio albiventris,33.8,27,0.176,23.2
Abrothrix olivaceus,37.2,27,0.276,
Myodes rufocanus,,27,0.320,
Acomys spinosissimus,,27.02,0.246,21.1
Tonatia bidens,37.0,27.4,0.307,22.7
Gerbillus dasyurus,38.6,27.6,0.163,20.8
Diphylla ecaudata,32.4,27.8,0.215,22.6
Microtus agrestis,37.6,28,0.355,0.4
Myodes rutilus,,28,0.430,
Antechinus stuartii,35.1,28.2,0.189,13.0
Oligoryzomys longicaudatus,37.3,28.2,0.285,6.1
Peromyscus keeni,36.2,28.3,0.261,
Gerbillus nanus,38.8,28.4,0.124,21.8
Microtus longicaudis,38.0,28.6,0.377,2.1
Microtus mexicanus,37.9,28.8,0.262,16.9
Chaetodipus baileyi,32.5,29.1,0.192,16.7
Desmodus rotundus,37.3,29.4,0.194,20.7
Gerbillus gerbillus,37.2,29.7,0.237,22.7
Gerbillurus tytonis,36.9,29.9,0.177,9.9
Suncus murinus,36.0,30.2,0.332,21.3
Lemmiscus curtatus,37.1,30.3,0.281,5.6
Cricetulus migratorius,38.1,30.7,0.245,6.3
Podomys floridanus,,30.8,0.288,17.9
Nyctimene albiventer,35.9,30.9,0.152,15.5
Akodon albiventer,,31,0.259,3.1
Heterocephalus glaber,32.1,32,0.114,22.8
Acomys subspinosus,,32.25,0.465,13.1
Notomys alexis,38.0,32.3,0.252,21.1
Chionomys nivalis,,32.8,0.452,7.0
Crocidura flavescens,,33.2,0.248,13.5
Peromyscus truei,36.7,33.3,0.349,11.6
Phyllostomus discolor,34.6,33.5,0.267,23.3
Microtus oeconomus,38.4,33.7,0.563,-5.4
Gerbillurus paeba,38.7,33.9,0.194,18.4
Notoryctes caurinus,30.8,34,0.119,24.4
Notomys cervinus,38.5,34.2,0.233,20.1
