Group members,UMB #,Genus,Species,common name,Femur length (cm),Femur circumference cm,Femur diamter middle (cm),Femur mass (g),Femur volume (ml),Femur cross section area (cm2),Tibia length (cm),Tibia diameter middle cm,Tibia circumference (cm),Tibia mass (g),Tibia volume (ml),Tibia cross section area (cm2),
Vickie,M-40/41,Bos,taurus,domestic cow,36,12.5,3.4,892,120,490.625,35,29.1,18.3,13.9,732,900,2658.9834
Franchesca,249,Odocoileus,virginianus,white-tailed deer,27.6,8.2,2.12,265,85,211.1336,33,2.6,2.6,8.3,235,310,21.2264
Elizabeth,umb 363,Procyon,lotor,raccon,12.9,8.1,7.7,20.9,10,206.0154,13.3,7.5,4.9,3.5,15.4,10,176.625
,M-24,Vulpes,vulpes,red fox,13.5,7,7,11.7,14,153.86,15.2,6.8,51,4.2,13.1,15,145.1936
,umb 10,Mustela,vison,mink,5.74,2.1,1.8,1.4,3,13.8474,5.9,3.8,2.4,2.2,1.4,8,45.3416
,Umb 300,Procavia,capensis,Rock hyrax,6,1,0.8,2.4,1,3.14,6.21,0.085,0.067,1,2.6,7,0.0226865
,407,Canus,familiaris,domestic dog,11.84,7.9,9.6,19.8,25,195.9674,15.6,6.5,5.9,4.3,19.3,30,132.665
,367,Sylvilagus,sp.,rabbit,11,3.5,0.8,7.5,5,38.465,9.28,5.2,2.8,2.7,6.9,7,84.9056
,umb 115,Felis,catus,cat,7.92,3.7,3.3,5.1,5,42.9866,4.24,0.16,0.09,0.35,4,8,0.080384
,umb 96.,Equus,caballas,horse,39,16,4.1,891.5,240,803.84,31.2,19.5,10.5,12.1,538,600,1193.985
,,,,sheep,20.5,18.1,14.6,125.5,87,1028.6954,23.4,16.4,9.9,3.5,113.7,99,844.5344
,,,,squirrel,6,4.5,3.2,1.3,3,63.585,6.1,2.9,2.8,,1,4,26.4074
